Hitter,Swing,Pitcher,Pitch,Result,Diff,Inning,Outs,Home Score,Away Score,OBC,Batter WPA,Pitcher WPA,RBI,Run,Result at neutral park,Game ID,Inning ID,Session,Batter Team,Pitcher Team,Season,bruh
S.K. Brettbug,777,S.A.R. Dinka,657,1B,,,2,,,1,,,,,,1023,10275,,,,1,
Garrett Ipnov,975,S.A.R. Dinka,333,LGO,,,2,,,5,,,,,,1023,10275,,,,1,
Burt Maclin,120,Einhorn,316,FO,,,0,,,0,,,,,,1023,10276,,,,1,
Mike Honcho,223,Einhorn,518,K,,,1,,,0,,,,,,1023,10276,,,,1,
Daz Reference,91,Einhorn,185,1B,,,2,,,0,,,,,,1023,10276,,,,1,
Thomas Berry,5,Einhorn,921,1B,,,2,,,1,,,,,,1023,10276,,,,1,
Ziggy Ceder,420,Einhorn,795,PO,,,2,,,5,,,,,,1023,10276,,,,1,
Cook Froster,250,Sonny Streaker,475,FO,,,0,,,0,,,,,,1024,10277,,,,1,
Baxter Payne,720,Sonny Streaker,116,LGO,,,1,,,0,,,,,,1024,10277,,,,1,
Johnny Hopkins,775,Sonny Streaker,934,BB,,,2,,,0,,,,,,1024,10277,,,,1,
Darth Vader,742,Sonny Streaker,123,LGO,,,2,,,0,,,,,,1024,10277,,,,1,
Jameson Poe,690,Sonny Streaker,678,HR,,,2,,,1,,,,,,1024,10277,,,,1,
Chocolate Smegma,921,Darth Vader,402,LGO,,,0,,,0,,,,,,1024,10278,,,,1,
Mongster Mash,404,Darth Vader,818,K,,,1,,,0,,,,,,1024,10278,,,,1,
Xavier Crowbar,390,Darth Vader,47,K,,,2,,,0,,,,,,1024,10278,,,,1,
Ricky Steele,330,Sonny Streaker,456,BB,,,0,,,0,,,,,,1024,10279,,,,1,
Lance Lummox,807,Sonny Streaker,112,K,,,1,,,0,,,,,,1024,10279,,,,1,
Mike Anderson,900,Sonny Streaker,112,FO,,,2,,,0,,,,,,1024,10279,,,,1,
James Earl Pwns,367,Darth Vader,209,FO,,,0,,,0,,,,,,1024,10280,,,,1,
Bo-Horse Jackman,834,Darth Vader,412,PO,,,1,,,0,,,,,,1024,10280,,,,1,
Bix Kayne,413,Darth Vader,357,1B,,,2,,,0,,,,,,1024,10280,,,,1,
Pip Squires,796,Darth Vader,102,K,,,2,,,1,,,,,,1024,10280,,,,1,
Splash Nelson,613,Sonny Streaker,789,FO,,,0,,,0,,,,,,1024,10281,,,,1,
Cook Froster,722,Sonny Streaker,345,LGO,,,1,,,0,,,,,,1024,10281,,,,1,
Baxter Payne,220,Sonny Streaker,577,LGO,,,2,,,0,,,,,,1024,10281,,,,1,
James Maso,316,Darth Vader,438,1B,,,0,,,0,,,,,,1024,10282,,,,1,
Trey Paste,237,Darth Vader,944,K,,,0,,,1,,,,,,1024,10282,,,,1,
Chocolate Smegma,212,Darth Vader,786,DP,,,1,,,1,,,,,,1024,10282,,,,1,
Johnny Hopkins,15,Sonny Streaker,987,2B,,,0,,,0,,,,,,1024,10283,,,,1,
Jameson Poe,426,Sonny Streaker,999,LGO,,,0,,,2,,,,,,1024,10283,,,,1,
Darth Vader,488,Sonny Streaker,743,K,,,1,,,2,,,,,,1024,10283,,,,1,
Mike Anderson,687,Sonny Streaker,3,PO,,,2,,,1,,,,,,1024,10283,,,,1,
Ricky Steele,251,Sonny Streaker,233,3B,,,2,,,2,,,,,,1024,10283,,,,1,
Lance Lummox,12,Sonny Streaker,115,1B,,,2,,,3,,,,,,1024,10283,,,,1,
Mongster Mash,400,Darth Vader,833,PO,,,0,,,0,,,,,,1024,10284,,,,1,
Xavier Crowbar,510,Darth Vader,56,LGO,,,1,,,0,,,,,,1024,10284,,,,1,
James Earl Pwns,35,Darth Vader,468,PO,,,2,,,0,,,,,,1024,10284,,,,1,
Splash Nelson,724,Sonny Streaker,634,1B,,,0,,,0,,,,,,1024,10285,,,,1,
Cook Froster,824,Sonny Streaker,700,BB,,,0,,,1,,,,,,1024,10285,,,,1,
Baxter Payne,319,Sonny Streaker,532,FO,,,0,,,4,,,,,,1024,10285,,,,1,
Johnny Hopkins,105,Sonny Streaker,12,1B,,,1,,,4,,,,,,1024,10285,,,,1,
Jameson Poe,826,Sonny Streaker,234,DP,,,1,,,7,,,,,,1024,10285,,,,1,
Bo-Horse Jackman,860,Darth Vader,878,3B,,,0,,,0,,,,,,1024,10286,,,,1,
Bix Kayne,877,Darth Vader,614,Sac,,,0,,,3,,,,,,1024,10286,,,,1,
Pip Squires,100,Darth Vader,257,BB,,,1,,,0,,,,,,1024,10286,,,,1,
James Maso,642,Darth Vader,196,DP,,,1,,,1,,,,,,1024,10286,,,,1,
Darth Vader,541,Sonny Streaker,998,LGO,,,0,,,0,,,,,,1024,10287,,,,1,
Ricky Steele,667,Sonny Streaker,543,BB,,,1,,,0,,,,,,1024,10287,,,,1,
Lance Lummox,789,Sonny Streaker,221,DP,,,1,,,1,,,,,,1024,10287,,,,1,
Trey Paste,412,Darth Vader,115,K,,,0,,,0,,,,,,1024,10288,,,,1,
Chocolate Smegma,1,Darth Vader,778,FO,,,1,,,0,,,,,,1024,10288,,,,1,
Mongster Mash,701,Darth Vader,634,1B,,,2,,,0,,,,,,1024,10288,,,,1,
Xavier Crowbar,864,Darth Vader,322,LGO,,,2,,,1,,,,,,1024,10288,,,,1,
BB Bambino Jr.,685,Sonny Streaker,478,FO,,,0,,,0,,,,,,1025,10289,,,,1,
Mason Spurs,,Sonny Streaker,125,1B,,,1,,,0,,,,,,1025,10289,,,,1,
King Fielder,740,Sonny Streaker,221,DP,,,1,,,1,,,,,,1025,10289,,,,1,
Chocolate Smegma,970,Big Tuna,636,PO,,,0,,,0,,,,,,1025,10290,,,,1,
Mongster Mash,818,Big Tuna,101,K,,,1,,,0,,,,,,1025,10290,,,,1,
Xavier Crowbar,288,Big Tuna,22,K,,,2,,,0,,,,,,1025,10290,,,,1,
Valentino Rollin,138,Sonny Streaker,769,PO,,,0,,,0,,,,,,1025,10291,,,,1,
Morris Deratt,919,Sonny Streaker,325,LGO,,,1,,,0,,,,,,1025,10291,,,,1,
Otis Nixon Sr.,213,Sonny Streaker,32,FO,,,2,,,0,,,,,,1025,10291,,,,1,
James Earl Pwns,738,Big Tuna,302,LGO,,,0,,,0,,,,,,1025,10292,,,,1,
Bo-Horse Jackman,889,Big Tuna,890,HR,,,1,,,0,,,,,,1025,10292,,,,1,
Bix Kayne,888,Big Tuna,758,BB,,,1,,,0,,,,,,1025,10292,,,,1,
James Maso,384,Big Tuna,36,PO,,,1,,,0,,,,,,1025,10292,,,,1,
Pip Squires,244,Big Tuna,244,HR,,,1,,,1,,,,,,1025,10292,,,,1,
Trey Paste,112,Big Tuna,673,LGO,,,2,,,0,,,,,,1025,10292,,,,1,
Lightning Balls,667,Sonny Streaker,765,1B,,,0,,,0,,,,,,1025,10293,,,,1,
Martin Barnar,34,Sonny Streaker,221,FO,,,0,,,1,,,,,,1025,10293,,,,1,
Casey Nine,955,Sonny Streaker,121,BB,,,1,,,1,,,,,,1025,10293,,,,1,
BB Bambino Jr.,1,Sonny Streaker,13,2B,,,1,,,4,,,,,,1025,10293,,,,1,
Mason Spurs,,Sonny Streaker,337,1B,,,1,,,6,,,,,,1025,10293,,,,1,
King Fielder,,Sonny Streaker,,Auto BB,,,1,,,7,,,,,,1025,10293,,,,1,
Valentino Rollin,748,Sonny Streaker,987,Sac,,,1,,,7,,,,,,1025,10293,,,,1,
Morris Deratt,69,Sonny Streaker,546,LGO,,,2,,,4,,,,,,1025,10293,,,,1,
Chocolate Smegma,155,Big Tuna,90,1B,,,0,,,0,,,,,,1025,10294,,,,1,
Mongster Mash,296,Big Tuna,818,DP,,,0,,,1,,,,,,1025,10294,,,,1,
Xavier Crowbar,880,Big Tuna,1,BB,,,2,,,0,,,,,,1025,10294,,,,1,
James Earl Pwns,217,Big Tuna,478,FO,,,2,,,1,,,,,,1025,10294,,,,1,
Otis Nixon Sr.,17,Sonny Streaker,987,HR,,,0,,,0,,,,,,1025,10295,,,,1,
Lightning Balls,269,Sonny Streaker,344,1B,,,0,,,0,,,,,,1025,10295,,,,1,
Martin Barnar,736,Sonny Streaker,122,DP,,,0,,,1,,,,,,1025,10295,,,,1,
Casey Nine,820,Sonny Streaker,987,BB,,,2,,,0,,,,,,1025,10295,,,,1,
BB Bambino Jr.,289,Sonny Streaker,987,PO,,,2,,,1,,,,,,1025,10295,,,,1,
Bo-Horse Jackman,347,Big Tuna,777,LGO,,,0,,,0,,,,,,1025,10296,,,,1,
Bix Kayne,386,Big Tuna,10,LGO,,,1,,,0,,,,,,1025,10296,,,,1,
Pip Squires,613,Big Tuna,314,K,,,2,,,0,,,,,,1025,10296,,,,1,
Mason Spurs,,Sonny Streaker,663,PO,,,0,,,0,,,,,,1025,10297,,,,1,
King Fielder,499,Sonny Streaker,235,K,,,1,,,0,,,,,,1025,10297,,,,1,
Valentino Rollin,848,Sonny Streaker,11,BB,,,2,,,0,,,,,,1025,10297,,,,1,
Morris Deratt,891,Sonny Streaker,234,PO,,,2,,,1,,,,,,1025,10297,,,,1,
James Maso,14,Big Tuna,823,FO,,,0,,,0,,,,,,1025,10298,,,,1,
Trey Paste,113,Big Tuna,696,LGO,,,1,,,0,,,,,,1025,10298,,,,1,
Chocolate Smegma,910,Big Tuna,7,1B,,,2,,,0,,,,,,1025,10298,,,,1,
Mongster Mash,56,Big Tuna,110,1B,,,2,,,1,,,,,,1025,10298,,,,1,
Xavier Crowbar,229,Big Tuna,378,BB,,,2,,,5,,,,,,1025,10298,,,,1,
James Earl Pwns,757,Big Tuna,999,FO,,,2,,,7,,,,,,1025,10298,,,,1,
Otis Nixon Sr.,312,Sonny Streaker,546,FO,,,0,,,0,,,,,,1025,10299,,,,1,
Lightning Balls,845,Sonny Streaker,765,1B,,,1,,,0,,,,,,1025,10299,,,,1,
Martin Barnar,543,Sonny Streaker,784,FO,,,1,,,1,,,,,,1025,10299,,,,1,
Casey Nine,,Sonny Streaker,,Auto K,,,2,,,1,,,,,,1025,10299,,,,1,
Bo-Horse Jackman,899,Big Tuna,32,BB,,,0,,,0,,,,,,1025,10300,,,,1,
Bix Kayne,30,Big Tuna,210,FO,,,0,,,1,,,,,,1025,10300,,,,1,
Pip Squires,816,Big Tuna,768,1B,,,1,,,1,,,,,,1025,10300,,,,1,
James Maso,892,Big Tuna,900,HR,,,1,,,4,,,,,,1025,10300,,,,1,
Lane Drew,101,Rob Pancakes,810,K,,,0,,,0,,,,,,1026,10301,,,,1,
Graham Grams,592,Rob Pancakes,706,1B,,,1,,,0,,,,,,1026,10301,,,,1,
Quentin Adams,87,Rob Pancakes,427,K,,,1,,,1,,,,,,1026,10301,,,,1,
Burt Maclin,801,Rob Pancakes,661,BB,,,2,,,1,,,,,,1026,10301,,,,1,
Mike Honcho,112,Rob Pancakes,920,FO,,,2,,,4,,,,,,1026,10301,,,,1,
Whit Merto,713,S.A.R. Dinka,513,FO,,,0,,,0,,,,,,1026,10302,,,,1,
Clipper Charge,900,S.A.R. Dinka,422,LGO,,,1,,,0,,,,,,1026,10302,,,,1,
Randy Nummer,19,S.A.R. Dinka,746,K,,,2,,,0,,,,,,1026,10302,,,,1,
Daz Reference,740,Rob Pancakes,386,K,,,0,,,0,,,,,,1026,10303,,,,1,
Thomas Berry,812,Rob Pancakes,608,FO,,,1,,,0,,,,,,1026,10303,,,,1,
Ziggy Ceder,776,Rob Pancakes,935,1B,,,2,,,0,,,,,,1026,10303,,,,1,
S.A.R. Dinka,571,Rob Pancakes,396,BB,,,2,,,1,,,,,,1026,10303,,,,1,
Lane Drew,400,Rob Pancakes,592,BB,,,2,,,4,,,,,,1026,10303,,,,1,
Quentin Adams,238,Rob Pancakes,830,K,,,2,,,5,,,,,,1026,10303,,,,1,
Graham Grams,927,Rob Pancakes,820,1B,,,2,,,7,,,,,,1026,10303,,,,1,
Sam Smith,295,S.A.R. Dinka,656,LGO,,,0,,,0,,,,,,1026,10304,,,,1,
Indy Sayne,735,S.A.R. Dinka,709,2B,,,1,,,0,,,,,,1026,10304,,,,1,
Bernie Petrol,222,S.A.R. Dinka,453,FO,,,1,,,2,,,,,,1026,10304,,,,1,
Johnny Dickshot,452,S.A.R. Dinka,625,FO,,,2,,,2,,,,,,1026,10304,,,,1,
Burt Maclin,111,Rob Pancakes,351,FO,,,0,,,0,,,,,,1026,10305,,,,1,
Mike Honcho,12,Rob Pancakes,167,BB,,,1,,,0,,,,,,1026,10305,,,,1,
Daz Reference,165,Rob Pancakes,734,PO,,,1,,,1,,,,,,1026,10305,,,,1,
Thomas Berry,855,Rob Pancakes,784,1B,,,2,,,1,,,,,,1026,10305,,,,1,
Ziggy Ceder,999,Rob Pancakes,748,FO,,,2,,,5,,,,,,1026,10305,,,,1,
Ludd Van Shark,580,S.A.R. Dinka,169,LGO,,,0,,,0,,,,,,1026,10306,,,,1,
Aaron Range,,S.A.R. Dinka,,Auto K,,,1,,,0,,,,,,1026,10306,,,,1,
Whit Merto,734,S.A.R. Dinka,326,LGO,,,2,,,0,,,,,,1026,10306,,,,1,
S.A.R. Dinka,458,Rob Pancakes,7,LGO,,,0,,,0,,,,,,1026,10307,,,,1,
Lane Drew,658,Rob Pancakes,644,HR,,,1,,,0,,,,,,1026,10307,,,,1,
Graham Grams,777,Rob Pancakes,351,LGO,,,1,,,0,,,,,,1026,10307,,,,1,
Quentin Adams,386,Rob Pancakes,792,K,,,2,,,0,,,,,,1026,10307,,,,1,
Clipper Charge,420,Levi Pyram,427,HR,,,0,,,0,,,,,,1026,10308,,,,1,
Randy Nummer,694,Levi Pyram,813,1B,,,0,,,0,,,,,,1026,10308,,,,1,
Sam Smith,164,Levi Pyram,881,K,,,0,,,1,,,,,,1026,10308,,,,1,
Indy Sayne,251,Levi Pyram,672,DP,,,1,,,1,,,,,,1026,10308,,,,1,
Burt Maclin,111,Levi Pyram,529,K,,,0,,,0,,,,,,1026,10309,,,,1,
Mike Honcho,911,Rob Pancakes,888,3B,,,1,,,0,,,,,,1026,10309,,,,1,
Thomas Berry,450,Rob Pancakes,511,1B,,,1,,,1,,,,,,1026,10309,,,,1,
Daz Reference,194,Rob Pancakes,287,1B,,,1,,,3,,,,,,1026,10309,,,,1,
Ziggy Ceder,584,Rob Pancakes,239,K,,,1,,,4,,,,,,1026,10309,,,,1,
Levi Pyram,377,Rob Pancakes,692,K,,,2,,,4,,,,,,1026,10309,,,,1,
Bernie Petrol,877,Levi Pyram,714,BB,,,0,,,0,,,,,,1026,10310,,,,1,
Whit Merto,146,Levi Pyram,437,K,,,0,,,0,,,,,,1026,10310,,,,1,
Johnny Dickshot,555,Levi Pyram,637,1B,,,0,,,1,,,,,,1026,10310,,,,1,
Ludd Van Shark,891,Levi Pyram,840,1B,,,0,,,4,,,,,,1026,10310,,,,1,
Aaron Range,516,Levi Pyram,523,HR,,,0,,,7,,,,,,1026,10310,,,,1,
Clipper Charge,480,Levi Pyram,277,FO,,,1,,,0,,,,,,1026,10310,,,,1,
Randy Nummer,808,Levi Pyram,317,LGO,,,2,,,0,,,,,,1026,10310,,,,1,
Lane Drew,99,Rob Pancakes,106,HR,,,0,,,0,,,,,,1026,10311,,,,1,
Graham Grams,651,Rob Pancakes,911,FO,,,0,,,0,,,,,,1026,10311,,,,1,
Quentin Adams,846,Rob Pancakes,522,K,,,1,,,0,,,,,,1026,10311,,,,1,
Burt Maclin,310,Rob Pancakes,710,K,,,2,,,0,,,,,,1026,10311,,,,1,
Sam Smith,349,Levi Pyram,537,FO,,,0,,,0,,,,,,1026,10312,,,,1,
Indy Sayne,878,Levi Pyram,429,LGO,,,1,,,0,,,,,,1026,10312,,,,1,
Bernie Petrol,438,Levi Pyram,642,FO,,,2,,,0,,,,,,1026,10312,,,,1,
Mike Honcho,366,Rob Pancakes,1,K,,,0,,,0,,,,,,1026,10313,,,,1,
Daz Reference,987,Rob Pancakes,392,K,,,1,,,0,,,,,,1026,10313,,,,1,
Thomas Berry,754,Rob Pancakes,481,FO,,,2,,,0,,,,,,1026,10313,,,,1,
Johnny Dickshot,235,Levi Pyram,104,BB,,,0,,,0,,,,,,1026,10314,,,,1,
Ludd Van Shark,329,Levi Pyram,291,2B,,,0,,,1,,,,,,1026,10314,,,,1,
Jimbo Fishy,420,Darth Vader,132,K,,,0,,,0,,,,,,1027,10315,,,,1,
Triston Uzumaki,25,Darth Vader,298,FO,,,1,,,6,,,,,,1027,10315,,,,1,
Jay Money,798,Darth Vader,411,LGO,,,2,,,6,,,,,,1027,10315,,,,1,
Ricky Steele,132,Willoughby Hoose,132,HR,,,0,,,0,,,,,,1027,10316,,,,1,
Johnny Hopkins,412,Willoughby Hoose,72,K,,,0,,,0,,,,,,1027,10316,,,,1,
Jameson Poe,831,Willoughby Hoose,120,K,,,1,,,0,,,,,,1027,10316,,,,1,
Lance Lummox,845,Willoughby Hoose,419,K,,,2,,,0,,,,,,1027,10316,,,,1,
Buck Cheeks,808,Darth Vader,755,2B,,,0,,,0,,,,,,1027,10317,,,,1,
William Constantine,116,Darth Vader,828,K,,,0,,,0,,,,,,1027,10317,,,,1,
Chester Facto,729,Darth Vader,846,1B,,,0,,,2,,,,,,1027,10317,,,,1,
Lemmy Fraser,533,Darth Vader,661,BB,,,0,,,5,,,,,,1027,10317,,,,1,
Chris Keebler,437,Darth Vader,451,HR,,,0,,,7,,,,,,1027,10317,,,,1,
Jacques Blaque,,Darth Vader,,Auto K,,,1,,,0,,,,,,1027,10317,,,,1,
Jimbo Fishy,524,Darth Vader,905,LGO,,,2,,,0,,,,,,1027,10317,,,,1,
Baxter Payne,607,Willoughby Hoose,491,1B,,,0,,,0,,,,,,1027,10318,,,,1,
Cook Froster,720,Willoughby Hoose,383,K,,,0,,,1,,,,,,1027,10318,,,,1,
Mike Anderson,167,Willoughby Hoose,656,DP,,,1,,,1,,,,,,1027,10318,,,,1,
Triston Uzumaki,123,Darth Vader,201,1B,,,0,,,0,,,,,,1027,10319,,,,1,
Jay Money,495,Darth Vader,861,K,,,0,,,1,,,,,,1027,10319,,,,1,
Buck Cheeks,913,Darth Vader,698,FO,,,1,,,1,,,,,,1027,10319,,,,1,
Chester Facto,546,Darth Vader,108,LGO,,,2,,,1,,,,,,1027,10319,,,,1,
Jimmy Johns,543,Willoughby Hoose,832,K,,,0,,,0,,,,,,1027,10320,,,,1,
Splash Nelson,134,Willoughby Hoose,180,2B,,,1,,,0,,,,,,1027,10320,,,,1,
Ricky Steele,431,Willoughby Hoose,874,LGO,,,1,,,2,,,,,,1027,10320,,,,1,
Johnny Hopkins,715,Willoughby Hoose,938,FO,,,2,,,2,,,,,,1027,10320,,,,1,
Lemmy Fraser,645,Darth Vader,388,FO,,,0,,,0,,,,,,1027,10321,,,,1,
Chris Keebler,777,Darth Vader,255,LGO,,,1,,,0,,,,,,1027,10321,,,,1,
William Constantine,487,Darth Vader,,Auto K,,,2,,,0,,,,,,1027,10321,,,,1,
Jameson Poe,416,Willoughby Hoose,361,2B,,,0,,,0,,,,,,1027,10322,,,,1,
Lance Lummox,907,Willoughby Hoose,496,K,,,0,,,2,,,,,,1027,10322,,,,1,
Baxter Payne,212,Willoughby Hoose,364,BB,,,1,,,2,,,,,,1027,10322,,,,1,
Cook Froster,524,Willoughby Hoose,696,BB,,,1,,,4,,,,,,1027,10322,,,,1,
Mike Anderson,277,Willoughby Hoose,114,1B,,,1,,,7,,,,,,1027,10322,,,,1,
Jimmy Johns,876,Willoughby Hoose,777,1B,,,1,,,7,,,,,,1027,10322,,,,1,
Splash Nelson,985,Willoughby Hoose,114,1B,,,1,,,7,,,,,,1027,10322,,,,1,
Ricky Steele,301,Willoughby Hoose,96,FO,,,1,,,7,,,,,,1027,10322,,,,1,
Jameson Poe,801,Willoughby Hoose,557,FO,,,2,,,5,,,,,,1027,10322,,,,1,
Johnny Hopkins,570,Willoughby Hoose,454,1B,,,2,,,7,,,,,,1027,10322,,,,1,
Jacques Blaque,537,Darth Vader,465,1B,,,0,,,0,,,,,,1027,10323,,,,1,
Jimbo Fishy,987,Darth Vader,584,DP,,,0,,,1,,,,,,1027,10323,,,,1,
Triston Uzumaki,92,Darth Vader,829,FO,,,2,,,0,,,,,,1027,10323,,,,1,
Lance Lummox,897,Willoughby Hoose,916,HR,,,0,,,0,,,,,,1027,10324,,,,1,
Baxter Payne,210,Willoughby Hoose,647,PO,,,0,,,0,,,,,,1027,10324,,,,1,
Cook Froster,122,Willoughby Hoose,588,LGO,,,1,,,0,,,,,,1027,10324,,,,1,
Mike Anderson,711,Willoughby Hoose,,Auto K,,,2,,,0,,,,,,1027,10324,,,,1,
Jay Money,91,Yacob Yevans,222,1B,,,0,,,0,,,,,,1028,10325,,,,1,
Buck Cheeks,108,Ricky Steele,53,2B,,,0,,,1,,,,,,1028,10325,,,,1,
Chester Facto,444,Ricky Steele,132,K,,,0,,,6,,,,,,1028,10325,,,,1,
Lemmy Fraser,598,Ricky Steele,301,K,,,1,,,6,,,,,,1028,10325,,,,1,
Chris Keebler,76,Ricky Steele,451,K,,,2,,,6,,,,,,1028,10325,,,,1,
H.B. Boink,234,Sal Shark,843,LGO,,,0,,,0,,,,,,1028,10326,,,,1,
Cal Tiberius Jr.,622,Sal Shark,466,BB,,,1,,,0,,,,,,1028,10326,,,,1,
Jake Blee,101,Sal Shark,372,FO,,,1,,,1,,,,,,1028,10326,,,,1,
Charles Lindberg,944,Sal Shark,993,2B,,,2,,,0,,,,,,1028,10326,,,,1,
C.J. Bastian,702,Sal Shark,686,HR,,,2,,,1,,,,,,1028,10326,,,,1,
Forrest Gleeson,999,Sal Shark,740,FO,,,2,,,2,,,,,,1028,10326,,,,1,
Art Zyz,350,Cal Tiberius Jr.,280,1B,,,0,,,0,,,,,,1028,10327,,,,1,
Bobson Dugnutt,411,Cal Tiberius Jr.,632,FO,,,0,,,1,,,,,,1028,10327,,,,1,
Blue Moon Barthelemy,1,Cal Tiberius Jr.,183,FO,,,1,,,1,,,,,,1028,10327,,,,1,
Caleb VanVacter,352,Cal Tiberius Jr.,241,1B,,,2,,,1,,,,,,1028,10327,,,,1,
Graham Othrie,895,Cal Tiberius Jr.,406,LGO,,,2,,,5,,,,,,1028,10327,,,,1,
Phil Coulson,838,Sal Shark,747,1B,,,0,,,0,,,,,,1028,10328,,,,1,
Y.E. Wally,180,Sal Shark,17,FO,,,0,,,1,,,,,,1028,10328,,,,1,
Gil Metz,95,Sal Shark,800,K,,,1,,,1,,,,,,1028,10328,,,,1,
H.B. Boink,942,Sal Shark,360,LGO,,,2,,,1,,,,,,1028,10328,,,,1,
Rick Gymnast,330,Cal Tiberius Jr.,777,LGO,,,0,,,0,,,,,,1028,10329,,,,1,
Sal Shark,280,Cal Tiberius Jr.,707,LGO,,,1,,,0,,,,,,1028,10329,,,,1,
Kid Notcher,847,Cal Tiberius Jr.,732,1B,,,2,,,0,,,,,,1028,10329,,,,1,
Boaty McBoatface,750,Cal Tiberius Jr.,447,K,,,2,,,1,,,,,,1028,10329,,,,1,
Cal Tiberius Jr.,622,Sal Shark,413,FO,,,0,,,0,,,,,,1028,10330,,,,1,
Jake Blee,103,Sal Shark,940,FO,,,1,,,0,,,,,,1028,10330,,,,1,
C.J. Bastian,424,Sal Shark,125,FO,,,2,,,0,,,,,,1028,10330,,,,1,
Art Zyz,809,Cal Tiberius Jr.,32,FO,,,0,,,0,,,,,,1028,10331,,,,1,
Bobson Dugnutt,199,Cal Tiberius Jr.,677,LGO,,,1,,,0,,,,,,1028,10331,,,,1,
Blue Moon Barthelemy,202,Cal Tiberius Jr.,449,FO,,,2,,,0,,,,,,1028,10331,,,,1,
Charles Lindberg,312,Sal Shark,907,PO,,,0,,,0,,,,,,1028,10332,,,,1,
Forrest Gleeson,530,Sal Shark,876,K,,,1,,,0,,,,,,1028,10332,,,,1,
Phil Coulson,235,Sal Shark,196,2B,,,2,,,0,,,,,,1028,10332,,,,1,
Y.E. Wally,618,Sal Shark,1,K,,,2,,,2,,,,,,1028,10332,,,,1,
Caleb VanVacter,525,Cal Tiberius Jr.,451,2B,,,0,,,0,,,,,,1028,10333,,,,1,
Graham Othrie,645,Cal Tiberius Jr.,325,K,,,0,,,2,,,,,,1028,10333,,,,1,
Rick Gymnast,604,Cal Tiberius Jr.,723,1B,,,1,,,2,,,,,,1028,10333,,,,1,
Kid Notcher,42,Cal Tiberius Jr.,538,DP,,,1,,,4,,,,,,1028,10333,,,,1,
Sal Shark,645,Cal Tiberius Jr.,711,1B,,,1,,,5,,,,,,1028,10333,,,,1,
Gil Metz,271,Sal Shark,950,K,,,0,,,0,,,,,,1028,10334,,,,1,
H.B. Boink,867,Sal Shark,246,LGO,,,1,,,0,,,,,,1028,10334,,,,1,
Cal Tiberius Jr.,141,Sal Shark,300,BB,,,2,,,0,,,,,,1028,10334,,,,1,
Jake Blee,441,Sal Shark,192,FO,,,2,,,1,,,,,,1028,10334,,,,1,
Boaty McBoatface,125,Cal Tiberius Jr.,72,2B,,,0,,,0,,,,,,1028,10335,,,,1,
Art Zyz,227,Cal Tiberius Jr.,445,FO,,,0,,,2,,,,,,1028,10335,,,,1,
Bobson Dugnutt,600,Cal Tiberius Jr.,214,LGO,,,1,,,2,,,,,,1028,10335,,,,1,
Blue Moon Barthelemy,420,Cal Tiberius Jr.,997,LGO,,,2,,,2,,,,,,1028,10335,,,,1,
C.J. Bastian,601,Sal Shark,540,2B,,,0,,,0,,,,,,1028,10336,,,,1,
Charles Lindberg,701,Sal Shark,816,1B,,,0,,,2,,,,,,1028,10336,,,,1,
Forrest Gleeson,30,Sal Shark,490,DP,,,0,,,5,,,,,,1028,10336,,,,1,
Phil Coulson,372,Sal Shark,862,LGO,,,2,,,0,,,,,,1028,10336,,,,1,
Caleb VanVacter,975,Cal Tiberius Jr.,732,FO,,,0,,,0,,,,,,1028,10337,,,,1,
Graham Othrie,813,Cal Tiberius Jr.,224,LGO,,,1,,,0,,,,,,1028,10337,,,,1,
Rick Gymnast,148,Cal Tiberius Jr.,124,2B,,,2,,,0,,,,,,1028,10337,,,,1,
Sal Shark,90,Cal Tiberius Jr.,800,K,,,2,,,2,,,,,,1028,10337,,,,1,
Cambo Dia,168,Hudson Hildebrandt,633,LGO,,,0,,,0,,,,,,1029,10338,,,,1,
Lefty Schweez,773,Hudson Hildebrandt,323,LGO,,,1,,,0,,,,,,1029,10338,,,,1,
Conrad Love,56,Hudson Hildebrandt,1,2B,,,2,,,0,,,,,,1029,10338,,,,1,
Hunter Tuzero,891,Hudson Hildebrandt,233,PO,,,2,,,2,,,,,,1029,10338,,,,1,
Rusty LaRue,655,Cy Hadd,190,LGO,,,0,,,0,,,,,,1029,10339,,,,1,
Herrera O'Doubles,740,Cy Hadd,73,K,,,1,,,0,,,,,,1029,10339,,,,1,
Osmosis Jones,630,Cy Hadd,948,K,,,2,,,0,,,,,,1029,10339,,,,1,
Cy Hadd,1,Hudson Hildebrandt,1,HR,,,0,,,0,,,,,,1029,10340,,,,1,
Kyle Mack,420,Hudson Hildebrandt,734,LGO,,,0,,,0,,,,,,1029,10340,,,,1,
Ross Fire,1,Hudson Hildebrandt,684,LGO,,,1,,,0,,,,,,1029,10340,,,,1,
KC Bats,335,Hudson Hildebrandt,324,HR,,,2,,,0,,,,,,1029,10340,,,,1,
Jay Lupp,654,Hudson Hildebrandt,257,LGO,,,2,,,0,,,,,,1029,10340,,,,1,
Timothy Moyer,827,Cy Hadd,36,FO,,,0,,,0,,,,,,1029,10341,,,,1,
Gene Hennig,877,Cy Hadd,8,1B,,,1,,,0,,,,,,1029,10341,,,,1,
Bo Kinsella,410,Cy Hadd,725,K,,,1,,,0,,,,,,1029,10341,,,,1,
